               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070873,            0.043221,            0.018665,             0.43699,             0.77349,             0.49501,             0.20495,            0.057108,            0.027311,           0.0062544,           0.0033172,           0.0033172,            0.070146
                   1,            0.050576,            0.026402,           0.0060014,             0.67625,             0.79671,             0.82346,             0.48302,            0.046381,            0.021177,           0.0036288,           0.0066066,           0.0066066,            0.040102
                   2,            0.045676,            0.023953,           0.0041624,             0.79174,             0.84911,             0.92061,             0.61303,            0.042486,             0.02018,           0.0022905,            0.009852,            0.009852,            0.010014
                   3,            0.039608,            0.023101,           0.0031847,             0.88235,             0.95018,             0.97007,             0.71951,            0.026748,            0.018108,           0.0021085,            0.009802,            0.009802,            0.009802
                   4,            0.032372,            0.021313,           0.0027141,             0.98238,             0.97268,             0.99039,             0.78626,            0.022583,            0.016453,           0.0019701,            0.009802,            0.009802,            0.009802
                   5,            0.029751,            0.020143,           0.0022493,             0.98689,             0.97826,             0.99231,             0.79896,            0.022789,            0.016099,           0.0019291,            0.009736,            0.009736,            0.009736
                   6,            0.028134,            0.019753,           0.0021221,             0.98551,              0.9793,             0.99322,              0.8324,            0.020832,            0.015227,           0.0015384,             0.00967,             0.00967,             0.00967
                   7,            0.025969,            0.018605,           0.0019472,             0.99223,             0.98369,             0.99398,             0.83559,            0.017647,            0.014355,           0.0012404,            0.009604,            0.009604,            0.009604
                   8,            0.024596,            0.018051,           0.0016882,             0.99156,             0.98403,             0.99375,             0.85068,            0.016619,            0.013846,           0.0013177,            0.009538,            0.009538,            0.009538
                   9,            0.023007,            0.017616,           0.0016883,             0.98979,               0.987,             0.99407,             0.85079,            0.016404,            0.013388,           0.0010941,            0.009472,            0.009472,            0.009472
                  10,            0.022798,              0.0173,           0.0016338,             0.99145,             0.98739,             0.99381,             0.85895,            0.015664,            0.013378,            0.001051,            0.009406,            0.009406,            0.009406
                  11,            0.022078,            0.016861,           0.0016057,             0.99336,             0.98622,             0.99428,             0.87056,             0.01508,            0.012798,           0.0010094,             0.00934,             0.00934,             0.00934
                  12,            0.022519,            0.017232,           0.0014962,             0.99221,             0.98968,             0.99431,             0.87416,            0.014262,            0.012796,           0.0010772,            0.009274,            0.009274,            0.009274
                  13,            0.021141,            0.016473,            0.001479,             0.99331,             0.98883,             0.99452,             0.88064,             0.01401,            0.012438,           0.0011915,            0.009208,            0.009208,            0.009208
                  14,            0.020938,            0.016516,           0.0013877,             0.99335,             0.98938,             0.99449,               0.881,            0.013902,            0.012191,           0.0011064,            0.009142,            0.009142,            0.009142
                  15,            0.019684,            0.015869,           0.0012972,             0.99369,             0.98908,             0.99472,             0.88726,            0.013535,            0.011886,          0.00088662,            0.009076,            0.009076,            0.009076
                  16,             0.01952,            0.015834,           0.0012364,             0.99473,             0.99164,             0.99447,             0.88998,             0.01393,             0.01211,           0.0008131,             0.00901,             0.00901,             0.00901
                  17,            0.019299,            0.015558,           0.0012528,             0.99377,             0.99137,             0.99449,             0.90135,            0.012602,            0.011472,           0.0011703,            0.008944,            0.008944,            0.008944
                  18,            0.019306,            0.015563,           0.0012232,             0.99401,             0.99196,             0.99449,             0.89703,            0.013028,            0.011551,          0.00080319,            0.008878,            0.008878,            0.008878
                  19,             0.01873,            0.015277,           0.0011232,             0.99493,             0.99159,             0.99462,             0.89739,            0.012251,            0.011397,          0.00086271,            0.008812,            0.008812,            0.008812
                  20,            0.018357,            0.015062,           0.0012105,             0.99382,             0.99224,             0.99434,             0.90395,            0.011827,            0.010947,          0.00088951,            0.008746,            0.008746,            0.008746
                  21,            0.018143,            0.014715,           0.0011267,             0.99525,             0.99192,              0.9947,             0.90084,            0.012056,            0.011097,          0.00071166,             0.00868,             0.00868,             0.00868
                  22,            0.017815,             0.01467,           0.0011672,             0.99534,             0.99372,             0.99477,             0.91306,            0.011313,             0.01077,          0.00085734,            0.008614,            0.008614,            0.008614
                  23,            0.018019,            0.014802,           0.0011012,             0.99517,             0.99067,             0.99483,             0.91508,             0.01189,            0.011164,            0.000674,            0.008548,            0.008548,            0.008548
                  24,            0.017525,            0.014726,           0.0010083,             0.99526,             0.99213,             0.99473,              0.9128,            0.011202,             0.01071,          0.00082846,            0.008482,            0.008482,            0.008482
                  25,            0.016991,            0.014422,           0.0010543,             0.99502,             0.99333,             0.99472,             0.91347,            0.011168,            0.010614,          0.00069962,            0.008416,            0.008416,            0.008416
                  26,             0.01699,            0.014233,          0.00098961,             0.99623,             0.99305,             0.99481,             0.91971,            0.010839,            0.010308,          0.00067877,             0.00835,             0.00835,             0.00835
                  27,             0.01659,             0.01414,           0.0011442,             0.99635,             0.99288,             0.99482,             0.91653,            0.011058,            0.010506,          0.00073205,            0.008284,            0.008284,            0.008284
                  28,             0.01655,            0.013955,          0.00093429,             0.99728,             0.99373,             0.99487,             0.92186,            0.010628,            0.010231,          0.00064062,            0.008218,            0.008218,            0.008218
                  29,             0.01681,            0.014147,          0.00098827,             0.99565,             0.99437,             0.99483,             0.91895,            0.010934,            0.010258,          0.00064249,            0.008152,            0.008152,            0.008152
                  30,            0.016167,            0.013944,          0.00092602,              0.9957,             0.99445,             0.99481,             0.92641,            0.010289,            0.010019,          0.00071164,            0.008086,            0.008086,            0.008086
                  31,             0.01615,             0.01383,          0.00091589,             0.99607,             0.99182,             0.99489,             0.92492,            0.010547,            0.010284,          0.00063669,             0.00802,             0.00802,             0.00802
                  32,            0.016125,            0.013819,          0.00089998,             0.99596,              0.9948,             0.99484,             0.92914,            0.010244,           0.0099794,          0.00071149,            0.007954,            0.007954,            0.007954
                  33,            0.015318,            0.013176,          0.00092498,             0.99592,             0.99395,             0.99486,             0.92943,           0.0099722,           0.0098009,          0.00059756,            0.007888,            0.007888,            0.007888
                  34,            0.015918,            0.013384,          0.00081303,              0.9969,             0.99458,             0.99483,             0.92955,           0.0098106,           0.0095766,           0.0006497,            0.007822,            0.007822,            0.007822
                  35,            0.015173,            0.013586,          0.00090627,             0.99647,             0.99371,             0.99482,             0.92966,           0.0099164,           0.0095988,          0.00072169,            0.007756,            0.007756,            0.007756
                  36,            0.015169,            0.013176,          0.00082505,             0.99649,             0.99481,             0.99488,             0.93529,           0.0096354,           0.0095124,          0.00063183,             0.00769,             0.00769,             0.00769
                  37,            0.015153,            0.013252,          0.00088283,             0.99734,             0.99446,             0.99486,             0.93514,           0.0097267,           0.0096399,          0.00063441,            0.007624,            0.007624,            0.007624
                  38,             0.01501,            0.013015,          0.00087778,             0.99708,             0.99406,             0.99488,             0.93934,           0.0094914,           0.0092982,          0.00074054,            0.007558,            0.007558,            0.007558
                  39,            0.015253,            0.013102,          0.00081293,             0.99722,               0.995,             0.99485,              0.9346,           0.0096774,           0.0093939,          0.00067529,            0.007492,            0.007492,            0.007492
                  40,            0.014833,            0.012862,          0.00077132,             0.99739,             0.99472,             0.99492,             0.94121,           0.0093185,           0.0092939,          0.00058355,            0.007426,            0.007426,            0.007426
                  41,            0.014361,            0.012548,          0.00082171,             0.99692,             0.99596,             0.99487,             0.93768,           0.0092762,           0.0092807,          0.00062876,             0.00736,             0.00736,             0.00736
                  42,            0.014549,            0.012905,          0.00075197,             0.99649,              0.9938,             0.99487,             0.94088,           0.0091984,           0.0092759,          0.00068046,            0.007294,            0.007294,            0.007294
                  43,            0.014608,            0.012815,          0.00081151,             0.99671,             0.99583,              0.9949,             0.94154,           0.0092729,            0.009248,          0.00063013,            0.007228,            0.007228,            0.007228
                  44,             0.01416,            0.012571,          0.00077595,             0.99644,             0.99538,             0.99493,             0.94418,           0.0090698,           0.0089246,          0.00057547,            0.007162,            0.007162,            0.007162
                  45,            0.014313,            0.012462,          0.00073982,             0.99698,             0.99395,             0.99493,             0.94225,           0.0089544,           0.0090421,          0.00050376,            0.007096,            0.007096,            0.007096
                  46,            0.014405,            0.012944,          0.00078129,             0.99724,             0.99546,             0.99493,             0.94304,           0.0091487,           0.0090495,          0.00051341,             0.00703,             0.00703,             0.00703
                  47,            0.013846,            0.012299,          0.00073316,             0.99713,             0.99523,             0.99494,             0.94465,           0.0089368,           0.0088964,           0.0005444,            0.006964,            0.006964,            0.006964
                  48,            0.014075,            0.012328,          0.00068641,             0.99729,             0.99575,              0.9949,             0.94681,           0.0087695,           0.0086502,          0.00064191,            0.006898,            0.006898,            0.006898
                  49,            0.013791,            0.012375,          0.00070971,             0.99761,             0.99522,             0.99493,             0.94649,           0.0087624,           0.0087988,          0.00056505,            0.006832,            0.006832,            0.006832
                  50,            0.013706,            0.012295,          0.00068343,             0.99764,             0.99552,             0.99493,             0.94627,           0.0087098,           0.0087444,          0.00048617,            0.006766,            0.006766,            0.006766
                  51,            0.013447,            0.012137,           0.0007319,             0.99836,             0.99613,             0.99495,             0.94933,           0.0085721,           0.0086033,          0.00050952,              0.0067,              0.0067,              0.0067
                  52,            0.013275,            0.011921,          0.00070637,             0.99796,             0.99491,             0.99496,             0.95147,           0.0084581,           0.0085163,          0.00054327,            0.006634,            0.006634,            0.006634
                  53,            0.013266,            0.011967,          0.00066548,             0.99738,             0.99666,             0.99496,             0.95269,           0.0084274,           0.0084818,           0.0005102,            0.006568,            0.006568,            0.006568
                  54,            0.013309,            0.012004,          0.00070459,             0.99708,             0.99502,             0.99486,             0.94985,           0.0085652,           0.0085653,          0.00054298,            0.006502,            0.006502,            0.006502
                  55,             0.01325,            0.011857,          0.00070378,             0.99747,             0.99569,             0.99491,              0.9527,           0.0084292,           0.0085043,          0.00052212,            0.006436,            0.006436,            0.006436
                  56,             0.01333,            0.011966,          0.00069052,             0.99646,             0.99616,             0.99494,             0.94983,           0.0084151,            0.008414,          0.00055911,             0.00637,             0.00637,             0.00637
                  57,            0.013039,            0.011744,          0.00066093,             0.99754,             0.99551,             0.99492,             0.95233,           0.0083942,           0.0084657,          0.00054456,            0.006304,            0.006304,            0.006304
                  58,             0.01304,            0.011803,          0.00065171,             0.99755,             0.99523,             0.99494,             0.95235,           0.0084497,           0.0085483,          0.00042583,            0.006238,            0.006238,            0.006238
                  59,            0.012917,            0.011822,          0.00068159,             0.99807,             0.99609,             0.99495,             0.95391,           0.0082428,           0.0083163,          0.00045754,            0.006172,            0.006172,            0.006172
                  60,            0.012835,            0.011436,          0.00074319,             0.99732,             0.99594,             0.99491,             0.95586,           0.0080962,           0.0082022,          0.00055259,            0.006106,            0.006106,            0.006106
                  61,             0.01283,            0.011695,          0.00064449,             0.99683,             0.99594,             0.99488,             0.95345,           0.0082019,           0.0083046,          0.00046271,             0.00604,             0.00604,             0.00604
                  62,            0.012467,            0.011385,          0.00064344,             0.99777,             0.99705,             0.99488,             0.95481,           0.0079967,           0.0080085,          0.00052947,            0.005974,            0.005974,            0.005974
                  63,            0.012379,            0.011461,          0.00067424,             0.99769,             0.99652,              0.9949,             0.95784,            0.007911,           0.0079878,          0.00051494,            0.005908,            0.005908,            0.005908
                  64,            0.012586,            0.011316,          0.00069934,              0.9973,             0.99653,             0.99491,             0.95645,           0.0079292,           0.0080545,          0.00055558,            0.005842,            0.005842,            0.005842
                  65,            0.012415,            0.011444,          0.00066862,             0.99773,             0.99691,             0.99496,             0.96033,           0.0078153,           0.0079448,          0.00050222,            0.005776,            0.005776,            0.005776
                  66,            0.012443,            0.011488,          0.00062172,             0.99842,             0.99689,             0.99493,             0.95952,           0.0078177,           0.0078477,          0.00043503,             0.00571,             0.00571,             0.00571
                  67,            0.012007,            0.011059,          0.00062545,             0.99826,             0.99663,             0.99496,             0.96018,           0.0077372,           0.0077483,           0.0004965,            0.005644,            0.005644,            0.005644
                  68,            0.012082,            0.011275,          0.00057241,             0.99854,              0.9966,             0.99494,             0.96031,           0.0076685,           0.0077342,          0.00045323,            0.005578,            0.005578,            0.005578
                  69,            0.012173,            0.011046,          0.00060781,              0.9979,              0.9966,             0.99495,             0.96062,           0.0077382,           0.0079821,          0.00047229,            0.005512,            0.005512,            0.005512
                  70,            0.012445,            0.011294,          0.00063861,             0.99809,             0.99661,             0.99495,             0.95933,           0.0077726,           0.0079639,           0.0004822,            0.005446,            0.005446,            0.005446
                  71,            0.012006,            0.011116,          0.00060935,             0.99823,             0.99652,             0.99495,             0.96046,           0.0076564,           0.0077079,          0.00044668,             0.00538,             0.00538,             0.00538
                  72,              0.0118,             0.01087,          0.00062583,             0.99812,             0.99701,             0.99494,              0.9608,           0.0075761,           0.0077833,          0.00042521,            0.005314,            0.005314,            0.005314
                  73,            0.011716,            0.011028,          0.00058416,             0.99814,             0.99672,             0.99491,             0.96305,           0.0075682,           0.0076938,          0.00048544,            0.005248,            0.005248,            0.005248
                  74,            0.011841,            0.010987,          0.00065214,             0.99843,             0.99676,             0.99497,             0.96296,           0.0075072,           0.0076797,          0.00041844,            0.005182,            0.005182,            0.005182
                  75,            0.011489,            0.010771,          0.00057104,             0.99808,             0.99657,             0.99492,             0.96414,           0.0074911,           0.0076818,          0.00041546,            0.005116,            0.005116,            0.005116
                  76,            0.011728,            0.010786,          0.00060225,             0.99866,             0.99662,             0.99493,             0.96294,           0.0074702,           0.0076135,          0.00039793,             0.00505,             0.00505,             0.00505
                  77,            0.011601,            0.010801,          0.00054431,             0.99811,             0.99718,             0.99496,             0.96331,           0.0074498,           0.0076064,          0.00039078,            0.004984,            0.004984,            0.004984
                  78,            0.011266,             0.01064,          0.00056863,             0.99842,             0.99683,             0.99495,             0.96434,           0.0073664,            0.007499,          0.00043368,            0.004918,            0.004918,            0.004918
                  79,            0.011524,            0.010581,          0.00057116,             0.99856,             0.99672,             0.99496,             0.96341,           0.0073866,           0.0075199,          0.00041382,            0.004852,            0.004852,            0.004852
                  80,            0.011481,            0.010777,          0.00056534,             0.99744,             0.99657,             0.99493,             0.96628,           0.0073293,           0.0074492,          0.00039507,            0.004786,            0.004786,            0.004786
                  81,            0.011204,            0.010568,          0.00058624,              0.9987,             0.99683,             0.99493,             0.96564,           0.0072422,           0.0074746,          0.00039861,             0.00472,             0.00472,             0.00472
                  82,            0.011113,            0.010341,           0.0005619,             0.99837,             0.99734,             0.99497,             0.96524,           0.0072885,           0.0074094,          0.00040078,            0.004654,            0.004654,            0.004654
                  83,            0.011058,            0.010494,          0.00057815,             0.99846,             0.99672,             0.99497,               0.965,           0.0073393,           0.0074983,          0.00038736,            0.004588,            0.004588,            0.004588
                  84,            0.011028,            0.010187,          0.00055465,             0.99874,             0.99722,             0.99495,             0.96644,           0.0071951,             0.00736,          0.00041571,            0.004522,            0.004522,            0.004522
                  85,            0.011028,            0.010431,          0.00056862,               0.998,             0.99762,             0.99494,             0.96527,           0.0071874,           0.0074179,          0.00039484,            0.004456,            0.004456,            0.004456
                  86,            0.010794,            0.010245,          0.00052908,             0.99815,             0.99733,             0.99483,             0.96656,           0.0070919,           0.0072278,          0.00038038,             0.00439,             0.00439,             0.00439
                  87,            0.010668,            0.010128,          0.00051324,             0.99857,             0.99657,             0.99491,             0.96784,           0.0070476,           0.0071598,          0.00037955,            0.004324,            0.004324,            0.004324
                  88,            0.010852,            0.010347,          0.00049646,             0.99839,             0.99713,             0.99494,              0.9689,           0.0069846,           0.0071366,          0.00036796,            0.004258,            0.004258,            0.004258
                  89,            0.010698,            0.010124,          0.00049424,             0.99851,             0.99717,             0.99496,             0.96889,           0.0069612,           0.0070629,          0.00038711,            0.004192,            0.004192,            0.004192
                  90,            0.010607,            0.010065,          0.00056099,             0.99811,             0.99707,             0.99495,             0.96819,           0.0069199,            0.007067,          0.00038239,            0.004126,            0.004126,            0.004126
                  91,            0.010339,           0.0098308,          0.00053498,             0.99849,             0.99716,             0.99497,             0.96842,           0.0069042,           0.0069695,          0.00038968,             0.00406,             0.00406,             0.00406
                  92,            0.010386,           0.0099223,          0.00050567,             0.99851,             0.99732,             0.99496,             0.97011,           0.0068642,           0.0070202,          0.00037275,            0.003994,            0.003994,            0.003994
                  93,            0.010471,           0.0098953,          0.00052283,               0.998,             0.99754,             0.99499,             0.96964,           0.0068554,           0.0069636,          0.00037271,            0.003928,            0.003928,            0.003928
                  94,            0.010343,           0.0098873,          0.00050963,             0.99862,              0.9974,             0.99498,             0.97051,           0.0068154,            0.006898,          0.00036934,            0.003862,            0.003862,            0.003862
                  95,            0.010174,           0.0098083,          0.00050947,             0.99846,             0.99767,             0.99498,             0.96979,           0.0068122,           0.0069385,          0.00037609,            0.003796,            0.003796,            0.003796
